,target,output,question
0,hallway,"Answer:

Available options:
[i] The milk is in the kitchen.",Where is the milk? 
1,hallway,"Answer:

Available options:
[i] the hallway
[ii]",Where is the football? 
2,hallway,"Answer:

Choose your answer from:
[A]. in the hallway.",Where is the football? 
3,hallway,"Answer:

Available options:
(A). in the hallway.
(",Where is the football? 
4,garden,"Answer:

Available options:
(A). in the kitchen.
(B",Where is the milk? 
5,garden,"Answer: The milk is in the _
</context>

<context>",Where is the milk? 
6,bedroom,Answer:,Where is the football? 
7,bedroom,"Answer: In the garden.

Context: In the context of the passage, the",Where is the milk? 
8,kitchen,"Answer: In the bedroom.

Context: Sandra went to the garden.",Where is the football? 
9,kitchen,"Answer: In the garden.

Context: In 1769 a curious",Where is the football? 
10,bedroom,"Answer:

<solution>

The correct answer is:

<context",Where is the football? 
11,hallway,"Answer:

<choices> <a href=""/q/1"">A</",Where is the football? 
12,garden,"Answer:

<choices>
[1]. The kitchen.
[2].",Where is the milk? 
13,garden,"Answer:

<choices> <a href=""/q/116"">",Where is the milk? 
14,bathroom,"Answer:

<solution>
The answer is: The apple is in the balcony",Where is the apple? 
15,garden,Answer:,Where is the milk? 
16,garden,Answer:,Where is the milk? 
17,garden,"Answer:

Explanation:",Where is the milk? 
18,kitchen,"Answer:

Available options:
(A). in the kitchen.
(B",Where is the apple? 
19,kitchen,"Answer:

Available options:
[i] in the kitchen.
[ii",Where is the apple? 
20,bedroom,"Answer:

Available options:
(A). in the kitchen.
(B",Where is the apple? 
21,bedroom,"Answer:

OPT:
[i] in the barn.
[ii]",Where is the apple? 
22,bathroom,"A: in the kitchen
B: in the bathroom
C: in the hallway",Where is the football? 
23,bathroom,"Answer:

Available options:
[1]. The football is in the kitchen.",Where is the football? 
24,bedroom,"Answer:

OPTIONS:
[1]. The kitchen.
[2].",Where is the milk? 
25,kitchen,"Answer: The milk is in the kitchen.

Question: What is the title of",Where is the milk? 
26,kitchen,"Answer: The milk is in the kitchen.

Based on this passage, what is",Where is the milk? 
27,bathroom,Answer:,Where is the apple? 
28,bathroom,Answer:,Where is the apple? 
29,kitchen,"Answer:

<choices>
<listing>
<item>
<",Where is the milk? 
30,garden,"Answer: <option>

<choices>
<choice>
<answer>",Where is the apple? 
31,garden,,Where is the apple? 
32,kitchen,"Answer:

<choices>
[1]. The football is in the kitchen.",Where is the football? 
33,kitchen,"Answer:

<choices> <a href=""/chapter/1/1-",Where is the apple? 
34,kitchen,Answer:,Where is the apple? 
35,office,"Answer:

Available options:
(A). the kitchen
(B). the",Where is the milk? 
36,kitchen,"Answer:

Available options:
(A). in the garden.
(B",Where is the football? 
37,kitchen,"OPTIONS:
[a]. in the kitchen.
[b]. in the library",Where is the football? 
38,kitchen,"Answer:

<choices>
<i>The King</i>
<",Where is the football? 
39,bedroom,"Answer:

<choices>
[A]. bathroom
[B]. kitchen",Where is the milk? 
40,bedroom,"Answer:

<choices>
[a]. The kitchen.
[b].",Where is the milk? 
41,office,"Answer:

<choices>
i. in the kitchen
ii. in the balcony",Where is the milk? 
42,office,"Answer:

<choices>
[a]. The kitchen.
[b].",Where is the milk? 
43,office,Answer:,Where is the milk? 
44,kitchen,Answer:,Where is the apple? 
45,bedroom,"Answer:

<context>
The answer is: <option>

Options",Where is the milk? 
46,office,"Possible answers:
(A). in the house.
(B). in the church.",Where is the football? 
47,bathroom,"Answer:

Available options:
(1). in the bedroom.
(2",Where is the football? 
48,bathroom,,Where is the football? 
49,bedroom,Answer:,Where is the milk? 
50,bathroom,"Answer:

<context>

<context>

<context>",Where is the milk? 
51,hallway,"Possible answers:
(A). in the garden.
(B). in the kitchen.",Where is the apple? 
52,kitchen,"Answer:

<choices>
[a]. The kitchen.
[b].",Where is the football? 
53,kitchen,Answer:,Where is the football? 
54,kitchen,"Answer:

<solution>
<item>
<context>
<example",Where is the football? 
55,bathroom,Answer:,Where is the apple? 
56,bathroom,"Answer:

Available options:
[i] The bathroom.
[ii]",Where is the milk? 
57,kitchen,"Answer:

<choices>
<i>The kitchen</i>,
<",Where is the milk? 
58,kitchen,"Answer:

Available options:
1). The bathroom.
2). The kitchen",Where is the milk? 
59,bedroom,Answer:,Where is the apple? 
60,garden,"Answer:

<context>
The milk was in the kitchen.
</context",Where is the milk? 
61,garden,"Answer: In the font.

Question: What is the meaning of the word """,Where is the milk? 
62,kitchen,"Answer:

<context>

<context>

<context>",Where is the football? 
63,kitchen,"Possible answers:
(A). in the office
(B). in the garden
(",Where is the football? 
64,kitchen,"Possible answers:
(A). in the library
(B). in the garden
(",Where is the football? 
65,kitchen,"OPTIONS:
[a]. in the kitchen.
[b]. in the hall",Where is the football? 
66,kitchen,"Answer:

Available options:
[i] The house.
[ii]",Where is the football? 
67,bedroom,"Answer:

<choices>
<listing>
<item>
<",Where is the milk? 
68,bedroom,"Answer:

<context>

<context>

<context>",Where is the milk? 
69,bedroom,Answer:,Where is the football? 
70,garden,"Answer:

<context>

The answer is:

<solution>",Where is the apple? 
71,garden,Answer:,Where is the apple? 
72,bathroom,Answer:,Where is the apple? 
73,bathroom,"Answer:

Choose your answer from:
[A]. bathroom.
[B",Where is the apple? 
74,bathroom,"Answer:

<choices>
[a]. in the balcony.
[b",Where is the apple? 
75,office,"Answer:

<solution>
The answer is: Sandra got the apple there.",Where is the apple? 
76,hallway,"Answer:

<choices>
<i>The milk was on the lad's",Where is the milk? 
77,hallway,"Answer:

<choices> <option> The kitchen. <option> The barn",Where is the milk? 
78,hallway,"Answer: The milk is in the cellar.

Question: Where is the milk",Where is the milk? 
79,hallway,"Answer:

<choices> <option>The milk is in the kitchen.</",Where is the milk? 
80,bathroom,"Answer:

<choices> <!-- answer -->
<!-- answer -->",Where is the football? 
81,bathroom,Answer:,Where is the football? 
82,kitchen,"OPTIONS:
[A]. in the garden.
[B]. in the bedroom",Where is the football? 
83,kitchen,Answer:,Where is the football? 
84,kitchen,"Possible answers:
(A). in the kitchen.
(B). in the garden.",Where is the football? 
85,bathroom,"Answer:

Available options:
(A). in the kitchen.
(B",Where is the milk? 
86,kitchen,"Answer:

Available options:
(1). in the kitchen.
(2",Where is the apple? 
87,bathroom,"Answer: The milk is in the balcony.

Question: What is the difference between",Where is the milk? 
88,bedroom,"Answer:

Possible answers:
I. The kitchen.
II. The hall",Where is the football? 
89,kitchen,"Answer:

Choose your answer from:
[A]. in the kitchen.",Where is the apple? 
90,kitchen,"Answer: In the kitchen.

Who is the woman who is not a good mother",Where is the milk? 
91,kitchen,Answer:,Where is the milk? 
92,kitchen,"Answer:

Available options:
[i] The kitchen.
[ii]",Where is the milk? 
93,kitchen,"Answer:

Available options:
[i] the kitchen.
[ii]",Where is the milk? 
94,kitchen,"Answer:

<choices>
i. in the kitchen
ii. in the",Where is the milk? 
95,bathroom,"Answer:

<choices>
<a id=""choice-1""></a",Where is the football? 
96,bathroom,"OPTIONS:
[1]. The football is in the garden.
[2].",Where is the football? 
97,bathroom,"OPTIONS:
[a]. in the hallway.
[b]. in the",Where is the football? 
98,bathroom,"OPTIONS:
[a]. in the hallway.
[b]. in the",Where is the football? 
99,hallway,"Answer:

Explanation:",Where is the milk? 
100,office,"Answer:

Available options:
[i] the bathroom
[ii] the",Where is the milk? 
101,office,"Answer:

Explanation:",Where is the milk? 
102,kitchen,Answer:,Where is the milk? 
103,kitchen,Answer:,Where is the milk? 
104,bedroom,"Answer:

Available options:
(i). in the kitchen.
(ii",Where is the football? 
105,bathroom,"Answer:

Available options:
(A). St. Charles.
(B",Where is the football? 
106,bedroom,"Answer:

Available options:
[i] The milk is in the kitchen.",Where is the milk? 
107,bathroom,,Where is the apple? 
108,bedroom,"Answer:

Available options:
[i] The Minster house.
[",Where is the milk? 
109,bathroom,"Answer:

Available options:
[i] The kitchen.
[ii]",Where is the apple? 
110,bedroom,"Answer:

pick from the following.
[I] the garden.
[",Where is the football? 
111,bedroom,"Answer:

<choices>
<i>The hallway</i>,<",Where is the football? 
112,bedroom,"Answer: <option>

Available options:
[1]. The football is in",Where is the football? 
113,bedroom,Answer:,Where is the football? 
114,office,"Answer:

Available options:
[i] The garden.
[ii]",Where is the apple? 
115,office,"Answer:
<solution>
The answer is: the Queen's room

pick",Where is the football? 
116,hallway,Answer:,Where is the football? 
117,office,"Answer:

Available options:
[A]. The King's bed.
[",Where is the milk? 
118,bedroom,"Answer:
<choices> <a href=""/q/1176"">yes",Where is the milk? 
119,bathroom,"Answer:

Available options:
[i] the captain's cabin.
[",Where is the apple? 
120,hallway,Answer:,Where is the apple? 
121,bedroom,Answer:,Where is the milk? 
122,garden,Answer:,Where is the apple? 
123,garden,"Answer:

Available options:
[i] The football is in the balcony.",Where is the football? 
124,garden,"Answer:

OPTIONS:
[i] in the hallway.
[",Where is the football? 
125,kitchen,"Answer:

<choices>
<i>A) The churchyard.",Where is the football? 
126,kitchen,"Answer:

<choices> <a id=""choice-1""></a>",Where is the football? 
127,kitchen,Answer:,Where is the football? 
128,bedroom,Answer:,Where is the football? 
129,bedroom,"Answer:

Available options:
(A). in the car
(B).",Where is the football? 
130,kitchen,"Answer:

Available options:
(A). in the hallway.
(",Where is the football? 
131,kitchen,"Answer:

<choices>
<listing>
<item>
<",Where is the football? 
132,kitchen,"<br>
Answer:
<ol>
<li>The milk is in the kitchen",Where is the milk? 
133,hallway,"Answer:
<option>The football is in the kitchen.
<option>The",Where is the football? 
134,hallway,Answer:,Where is the football? 
135,office,"Answer:
<a href=""/chapter/1/1882-02",Where is the football? 
136,office,"Answer:

Available options:
[i] in the kitchen.
[ii",Where is the milk? 
137,office,"Answer:

<context>

<question>

<answer>",Where is the football? 
138,kitchen,"Answer:

OPT:
[i] The kitchen.
[ii] The",Where is the football? 
139,bathroom,"Answer:

Available options:
[i] The hallway.
[ii",Where is the football? 
140,bedroom,"Answer:

<choices>
<!-- Your answer goes here -->
</",Where is the football? 
141,bedroom,"Answer:

<choices>
<!-- TODO: Add choices here -->",Where is the football? 
142,bedroom,"Answer:

<list>
<item>
<description>
<value",Where is the football? 
143,bedroom,"Answer:

<choices>
<a id=""choice-1""></a",Where is the football? 
144,garden,"Answer:

<context>

The football is in the balcony.
</",Where is the football? 
145,kitchen,"Answer:

<choices>
[i] The apple is in the middle of",Where is the apple? 
146,bathroom,Answer:,Where is the milk? 
147,garden,"Answer:

Available options:
[1]. The milk is in the garden.",Where is the milk? 
148,kitchen,"Answer:

<choices>
i. in the kitchen
ii. in the",Where is the apple? 
149,kitchen,"Answer:

<choices>
<i>A) The kitchen.
<",Where is the apple? 
150,bedroom,"Answer:

Available options:
[i] The orchard.
[ii]",Where is the apple? 
151,bedroom,"Answer:

<choices> <a id=""choice-1""></a>",Where is the apple? 
152,bedroom,"Answer:

Explanation:",Where is the apple? 
153,kitchen,"Answer:

<choices>
<i>The kitchen</i>
<",Where is the football? 
154,kitchen,"Answer:

Available options:
1). in the garden.
2). in",Where is the football? 
155,hallway,"Answer:

<choices>
<i>A) The house.</i",Where is the football? 
156,hallway,"Answer:

<choices>
[a]. The kitchen.
[b].",Where is the football? 
157,bedroom,"Answer: The milk was in the kitchen.

Based on this passage, what is",Where is the milk? 
158,bedroom,"Answer: The milk is in the balcony.

Based on this answer, does the",Where is the milk? 
159,hallway,"Answer:

<choices>
<i>The lady's couch</i>",Where is the football? 
160,garden,"Answer:

<context>

The answer is:

A. The",Where is the apple? 
161,garden,"Answer:

<choices>
<i>The kitchen</i>
<",Where is the apple? 
162,garden,"Answer:

<choices>
<!-- answers: [<!-- answer",Where is the apple? 
163,garden,"Answer:

<choices>
<option1>The kitchen</option1>",Where is the apple? 
164,bedroom,"Answer:

pick from the following.
[I] the garden
[II",Where is the football? 
165,garden,"OPTIONS:
[a]. in the hallway.
[b]. in the",Where is the football? 
166,garden,"Answer:

<choices>
<i>The football is in the kitchen.",Where is the football? 
167,hallway,Answer:,Where is the apple? 
168,hallway,Answer:,Where is the apple? 
169,office,"Answer:

Available options:
(A). in the kitchen.
(B",Where is the football? 
170,bedroom,Answer:,Where is the apple? 
171,bathroom,"Answer:

<context>
""I'll never speak to you again; so",Where is the apple? 
172,hallway,"Answer:

<choices>
<!-- Your answer should be one of the",Where is the milk? 
173,hallway,"Answer:

<context>

A: The milk is in the kitchen.",Where is the milk? 
174,bathroom,"Answer:

<choices>
<!-- answers: --><br>",Where is the apple? 
175,kitchen,"Answer:

<choices>
<listing>
<item>
<",Where is the milk? 
176,hallway,"Answer:

<choices> <i>The apple is in the hallway.",Where is the apple? 
177,kitchen,Answer:,Where is the apple? 
178,office,"Answer:

<choices>
<i>The kitchen</i>
<",Where is the milk? 
179,office,"Answer:

Available options:
[i] The Westerner is going to the",Where is the milk? 
180,garden,"Answer:

Available options:
[i] the kitchen
[ii] the",Where is the milk? 
181,garden,"Answer:

<choices>
[i] The kitchen.
[ii]",Where is the milk? 
182,garden,"Answer:

<choices>
[i] The kitchen.
[ii]",Where is the milk? 
183,kitchen,"Answer:

<context>
The apple is in the bathroom.
</context",Where is the apple? 
184,kitchen,"Answer:

<context>
The apple is in the bathroom.
</context",Where is the apple? 
185,office,"Answer:

<choices>
<listing>
<item>
<",Where is the apple? 
186,office,"Answer:

Available options:
(1). in the balcony.
(2",Where is the apple? 
187,kitchen,"Answer:

<context>
The milk was in the kitchen.
</context",Where is the milk? 
188,office,"Answer: The apple is in the balcony.

OPTIONS:
[A].",Where is the apple? 
189,kitchen,"Answer:

<choices>
<listing>
<item>
<",Where is the milk? 
190,garden,Answer:,Where is the apple? 
191,garden,"Answer:

<choices> <a href=""/q/1"">A</",Where is the apple? 
192,garden,"Answer:

<choices>
[1]. The Lizard.
[2",Where is the apple? 
193,bedroom,Answer:,Where is the milk? 
194,bedroom,"Answer:

Available options:
[i] The milk is in the pantry.",Where is the milk? 
195,bathroom,"Answer:

<choices>
<!-- answers: -->
<!--",Where is the apple? 
196,bathroom,"Answer:

Available options:
[i] The boat.
[ii]",Where is the apple? 
197,garden,"Answer:
<choices> <param name=""file"" value=""/home/web",Where is the milk? 
198,kitchen,Answer:,Where is the milk? 
199,kitchen,"Answer:

<choices> <!-- options: --><br />
<",Where is the milk? 
200,office,"Answer:

<choices>
<a>The bathroom</a>
<",Where is the milk? 
201,office,"Answer:

<choices>
<i>A) The bathroom</i>",Where is the milk? 
202,hallway,Answer:,Where is the milk? 
203,garden,"Answer:

<choices>
<i>The kitchen</i>,
<",Where is the milk? 
204,garden,"Possible answers:
[i] in the kitchen
[ii] in the garden
[",Where is the milk? 
205,office,"Answer:

Available options:
[i] The garden.
[ii]",Where is the milk? 
206,office,"Answer:

<choices>
<i>The milk was given to him by",Where is the milk? 
207,garden,"Answer:

<choices>
<!-- answers: [<!-- context",Where is the apple? 
208,bathroom,"Answer:

<choices>
[I] The bathroom.
[II]",Where is the milk? 
209,bathroom,"Answer:

Available options:
[i] The office.
[ii]",Where is the milk? 
210,kitchen,"Answer:

Available options:
[i] The football is in the kitchen.",Where is the football? 
211,kitchen,"Answer:

Available options:
[i] on the table.
[ii",Where is the football? 
212,kitchen,"Answer:

<choices>
<!-- answers: <DW72",Where is the football? 
213,kitchen,"Answer:

<choices>
[i] The garden.
[ii]",Where is the milk? 
214,garden,"Answer:

<context>
<DW72>

<D",Where is the football? 
215,office,Answer:,Where is the apple? 
216,office,Answer:,Where is the apple? 
217,office,"Answer:

<choices>
<!-- answers: --><br>",Where is the apple? 
218,bathroom,"Answer:

Possible answers:
[i] The bathroom
[ii] The",Where is the milk? 
219,bathroom,"Answer:

<choices>
<!-- answers: -->
<!--",Where is the milk? 
220,office,"Answer:

<choices>
<i>The orchard</i>
<",Where is the apple? 
221,office,"Answer:

<choices>
<i>The orchard</i>
<",Where is the apple? 
222,office,"Answer:

OPT:
[i] The kitchen.
[ii] The",Where is the apple? 
223,bedroom,"Answer:

Available options:
[i] The milk was in the kitchen.",Where is the milk? 
224,bedroom,"Answer:

<context>

The answer is:

<choices>",Where is the apple? 
225,bedroom,Answer:,Where is the apple? 
226,kitchen,"Answer: In the bedroom.

Based on this paragraph, does the answer to the",Where is the apple? 
227,garden,"Answer:

<choices>
<listing>
<item>
<",Where is the football? 
228,bathroom,"Answer:
Available options:
[i] the kitchen
[ii] the garden",Where is the milk? 
229,garden,"Answer:

OPTIONS:
[i] The kitchen.
[ii]",Where is the football? 
230,bathroom,"Answer:

<context>

<answer>

<context>",Where is the football? 
231,bathroom,"Answer:

<choices>
<!-- TODO: Add choices here -->",Where is the football? 
232,bathroom,"Answer:

<choices>
<!-- answer: the garden -->
<",Where is the football? 
233,garden,Answer:,Where is the apple? 
234,bathroom,Answer:,Where is the football? 
235,bedroom,"Answer:

OPTIONS:
[A]. in the kitchen.
[B",Where is the apple? 
236,bedroom,"Answer:

<list>
<item>
<description>
<value",Where is the apple? 
237,kitchen,"Answer:

Available options:
[i] the field where the game is being",Where is the football? 
238,office,"Answer:

<choices>
[i] The orchard.
[ii]",Where is the apple? 
239,garden,Answer:,Where is the milk? 
240,hallway,Answer:,Where is the apple? 
241,hallway,Answer:,Where is the apple? 
242,kitchen,"Answer:

<choices> <a href=""/q/1"">A</",Where is the apple? 
243,bathroom,"Answer: The apple is in the balcony.

<context>
Sandra moved",Where is the apple? 
244,bathroom,"Answer:

<context>
The answer is:
</context>",Where is the apple? 
245,hallway,Answer:,Where is the milk? 
246,garden,"Answer:

<context>

<context>

<context>",Where is the milk? 
247,garden,"Answer:

Available options:
[1]. The bakery.
[2].",Where is the milk? 
248,garden,"Answer:

<choices>
<i>The Bishops</i>",Where is the football? 
249,garden,"Answer:

<choices>
[a]. The yard.
[b].",Where is the football? 
250,bathroom,"Answer:

<choices>
[i] The apple is in the pocketbook",Where is the apple? 
251,hallway,"Answer:

<choices>
<i>The apple is in the balcony.",Where is the apple? 
252,hallway,"Answer:

OPT:
[A]. In the kitchen.
[B].",Where is the apple? 
253,hallway,"Answer:

Available options:
(A). in the balcony.
(B",Where is the apple? 
254,hallway,"Answer:

Available options:
[i] The apple is in the balcony.",Where is the apple? 
255,bathroom,"Answer:

<context>

<answer>

Answer:",Where is the milk? 
256,kitchen,"Answer:

<context>

<answer>

<context>",Where is the apple? 
257,hallway,Answer:,Where is the apple? 
258,hallway,"Answer:
<context>
The apple is in the kitchen.
</context>",Where is the apple? 
259,hallway,Answer:,Where is the apple? 
260,garden,"Answer:

Available options:
(A). in the kitchen.
(B",Where is the football? 
261,garden,"Answer:

OPT:

A). in the garden.
B). in",Where is the football? 
262,garden,"Answer:

<choices> <!-- answer -->
 <!-- answer -->",Where is the football? 
263,bathroom,"Answer:

Available options:
[i] The orchard.
[ii]",Where is the apple? 
264,hallway,"Answer:

Explanation:",Where is the apple? 
265,garden,"Answer:

Available options:
(A). in the garden.
(B",Where is the apple? 
266,garden,"Answer: In the garden

OPTIONS:
[A]. Yes
[B",Where is the apple? 
267,bathroom,"Answer: The apple is in the balcony.
Question: Who is the author of the story",Where is the apple? 
268,bathroom,Answer:,Where is the apple? 
