,target,output,question
0,office,"Answer: It was in the kitchen.

Question: Where was the apple after the",Where was the apple before the bathroom? 
1,office,"Answer: The apple was in the hallway.

Question: Where was the apple",Where was the apple before the hallway? 
2,office,"Answer: The apple was in the garden.

Question: What was the apple before",Where was the apple before the hallway? 
3,bathroom,"Answer: In the hallway.

Question: Where was the football after the garden",Where was the football before the garden? 
4,bathroom,"Answer: The garden.

Question: Where was the apple before the bedroom?",Where was the football before the garden? 
5,garden,"Answer: The apple was in the kitchen.

Question: What did Sandra do with",Where was the apple before the bathroom? 
6,kitchen,"Answer: The milk was in the kitchen.

Question: What did John do?",Where was the milk before the office? 
7,kitchen,"Answer: In the garden.

Question: Where was the apple after the office?",Where was the apple before the office? 
8,kitchen,"Answer: The apple was in the bedroom.

Question: Where was the apple after",Where was the apple before the office? 
9,bedroom,"Answer: The apple was in the kitchen.

Question: Where was the apple after",Where was the apple before the office? 
10,garden,"Answer: The apple was in the kitchen.

Question: What was the apple?",Where was the apple before the bedroom? 
11,garden,"Answer: The apple was in the kitchen.

Question: Where was the apple after",Where was the apple before the bedroom? 
12,garden,"Answer: The bathroom.

Question: Where was the milk after the bathroom?",Where was the milk before the bathroom? 
13,garden,"Answer: The bathroom.

Question: What did Mary do with the milk?",Where was the milk before the bathroom? 
14,garden,"Answer: The milk was in the bathroom.

Question: Where was the apple before",Where was the milk before the bathroom? 
15,kitchen,"Answer: In the room.

Question: Where was the football after the garden?",Where was the football before the garden? 
16,kitchen,"Answer: In the garden.

Question: Where was the football after the garden?",Where was the football before the garden? 
17,garden,"Answer: In the office.

Question: Where was the milk after the bedroom?",Where was the milk before the bedroom? 
18,garden,"Answer: In the kitchen.

Question: Where was the apple before the bedroom?",Where was the milk before the bedroom? 
19,bedroom,"<context>

<context>

<context>

<context>",Where was the football before the bathroom? 
20,garden,"Answer: In the garden.

Question: Where was the football after the hallway",Where was the football before the hallway? 
21,garden,"Answer: The football was in the garden.

Question: What was the football made",Where was the football before the office? 
22,hallway,"Answer: In the garden.

Question: What is the meaning of the word """,Where was the football before the garden? 
23,office,"Answer: In the garden.

Question: Where was the milk before the garden?",Where was the milk before the kitchen? 
24,kitchen,"Answer: The milk was in the kitchen.

Question: Where was the kitchen before",Where was the milk before the bedroom? 
25,bathroom,"Answer: The football was in the bedroom.

Question: Where was the football after",Where was the football before the bedroom? 
26,office,"Answer: The football was in the kitchen.

Question: Where was the football after",Where was the football before the bedroom? 
27,garden,"Answer: The football was in the hallway.

Question: Where was the apple",Where was the football before the office? 
28,garden,"Answer: In the garden.

Question: Where was the apple before the bedroom?",Where was the football before the office? 
29,garden,"Answer: In the garden.

Question: Where was the apple after the office?",Where was the apple before the office? 
30,bathroom,"Answer: In the garden.

Question: Where was the apple after the hallway",Where was the apple before the hallway? 
31,office,"Answer: The apple was in the kitchen.

Question: What did Sandra say to",Where was the apple before the kitchen? 
32,office,"Answer: The apple was in the kitchen.

Question: Where was the apple after",Where was the apple before the kitchen? 
33,hallway,"Answer: The milk was in the hallway.

Question: What was the milk",Where was the milk before the bedroom? 
34,bedroom,"Answer: The milk was in the garden.

Question: Where was the milk after",Where was the milk before the garden? 
35,hallway,"<context>

Sandra put down the apple there. “I don’t",Where was the apple before the bathroom? 
36,hallway,"Answer: The football was in the kitchen.

Question: Where was the football after",Where was the football before the kitchen? 
37,bathroom,"Answer: The apple was in the kitchen.

Question: Where was the apple after",Where was the apple before the kitchen? 
38,garden,"Answer: The apple was in the bathroom.

Question: Where was the apple after",Where was the apple before the bathroom? 
39,garden,"Answer: The apple was in the bathroom.

Question: Where was the apple after",Where was the apple before the bathroom? 
40,garden,"Answer: The hallway was the football.

Question: Where was the hallway",Where was the football before the hallway? 
41,garden,"Answer: The hallway was the football.

Question: Where was the football before",Where was the football before the hallway? 
42,garden,"Answer: The hallway.

Question: Where was the apple before the hallway",Where was the milk before the hallway? 
43,hallway,"Answer: The bathroom.

Question: Where was the milk after the bathroom?",Where was the milk before the bathroom? 
44,bathroom,"Answer: The hallway.

Question: Where was the football after the hallway",Where was the football before the hallway? 
45,bedroom,"Answer: It was in the bedroom.

Question: Where was the apple after the",Where was the apple before the bathroom? 
46,bedroom,"Answer: The apple was in the bathroom.

Question: Where was the apple after",Where was the apple before the bathroom? 
47,bedroom,"Answer: In the nursery.

Question: Where was the apple before the bedroom?",Where was the apple before the bathroom? 
48,bedroom,"Answer: The apple was in the kitchen.

Question: What was the apple doing",Where was the apple before the bathroom? 
49,bedroom,"Answer: The hallway.

Question: Where was the milk after the hallway",Where was the milk before the hallway? 
50,kitchen,"Answer: The apple was in the garden.

Question: Where was the apple after",Where was the apple before the garden? 
51,garden,"Answer: In the garden.

Question: Where was the apple after the bedroom?",Where was the apple before the bedroom? 
52,garden,"Answer: The football was in the bedroom.

Question: Where was the football after",Where was the football before the kitchen? 
53,bathroom,"Answer: In the kitchen.

Question: Where was the apple before the bedroom?",Where was the apple before the bedroom? 
54,bathroom,"Answer: The apple was in the garden.

Question: Where was the apple before",Where was the apple before the bedroom? 
55,office,"Answer: The football was in the hallway.

Question: What was the first",Where was the football before the hallway? 
56,kitchen,"Answer: In the garden.

Question: What was the apple before the office?",Where was the apple before the office? 
57,office,"Answer: The football was in the garden.

Question: What did Hamilcar",Where was the football before the garden? 
58,office,"Answer: In the hallway.

Question: Where was the football after the bedroom",Where was the football before the bedroom? 
59,garden,"Answer: The apple was in the hallway.

Question: What did the landl",Where was the apple before the hallway? 
60,hallway,"Answer: The football was in the bedroom.

Question: Where was the football after",Where was the football before the bedroom? 
61,bathroom,"Answer: The football was in the kitchen.

Question: Where was the football after",Where was the football before the hallway? 
62,bedroom,"Answer: In the kitchen.

Question: Where was the football after the kitchen?",Where was the football before the kitchen? 
63,garden,"Answer: In the garden.

Question: Where was the football after the bathroom?",Where was the football before the bathroom? 
64,garden,"Answer: In the kitchen.

Question: Where was the milk before the bathroom?",Where was the football before the bathroom? 
65,bathroom,"Answer: In the kitchen.

Question: Where was the milk after the office?",Where was the milk before the office? 
66,bathroom,"Answer: In the kitchen.

Question: Where was the apple before the office?",Where was the milk before the office? 
67,bathroom,"Answer: The milk was in the kitchen.

Question: Where was the milk after",Where was the milk before the office? 
68,garden,"Answer: The bedroom.

Question: Where was the football after the bedroom?",Where was the football before the bedroom? 
69,kitchen,"Answer: The football was in the bathroom.

Question: Where was the football after",Where was the football before the bathroom? 
70,office,"Answer: In the kitchen.

Question: Where was the football after the hallway",Where was the football before the hallway? 
71,hallway,"Answer: In the kitchen.

Question: What did John do with the apple?",Where was the apple before the garden? 
72,bathroom,"Answer: In the hallway.

Question: Why was the milk in the hall",Where was the milk before the kitchen? 
73,kitchen,"Answer: In the hallway.

Question: Why was the apple in the hall",Where was the apple before the bathroom? 
74,garden,"Answer: The apple was in the garden.

Question: Where was the apple after",Where was the apple before the bathroom? 
75,garden,"Answer: The milk was in the hallway.

Question: Where was the milk",Where was the milk before the hallway? 
76,hallway,"Answer: The milk was in the office.

Question: Where was the milk after",Where was the milk before the office? 
77,garden,"Answer: The hallway.

Question: Where was the football before the hallway",Where was the milk before the hallway? 
78,office,"Answer: It was in the garden.

Question: Where was the apple before the",Where was the apple before the bathroom? 
79,office,"<context>

Answer: In the garden.

<context>",Where was the apple before the bathroom? 
80,kitchen,"Answer: In the garden.

Question: What was the milk doing in the garden",Where was the milk before the office? 
81,kitchen,"Answer: The garden.

Question: What did the two girls do when they saw",Where was the milk before the office? 
82,kitchen,"Answer: In the garden.

Question: What did Mary drop?

Answer",Where was the milk before the office? 
83,bathroom,"Answer: The apple was in the hallway.

Question: Where was the apple",Where was the apple before the hallway? 
84,bathroom,"Answer: In the hallway.

Question: Where was the milk before the bathroom",Where was the milk before the bedroom? 
85,garden,"Answer: In the kitchen.

Question: Where was the apple after the bathroom?",Where was the apple before the bathroom? 
86,bathroom,"Answer: The milk was in the kitchen.

Question: Where was the apple before",Where was the milk before the kitchen? 
87,bathroom,"Answer: In the kitchen.

Question: Where was the football before the bedroom?",Where was the milk before the kitchen? 
88,garden,"Answer: In the bedroom.

Question: Where was the milk after the bathroom?",Where was the milk before the bathroom? 
89,bathroom,"Answer: It was in the bedroom.

Question: Where was the football after the",Where was the football before the bedroom? 
90,hallway,"Answer: In the garden.

Question: Where was the milk after the kitchen?",Where was the milk before the kitchen? 
91,hallway,"Answer: In the garden.

Question: Where was the milk after the kitchen?",Where was the milk before the kitchen? 
92,garden,"Answer: In the garden.

Question: Where was the apple before the bedroom?",Where was the milk before the bedroom? 
93,bedroom,"Answer: In the garden.

Question: Where was the football after the kitchen?",Where was the football before the kitchen? 
94,kitchen,"Answer: In the garden.

Question: Where was the apple after the bedroom?",Where was the apple before the bedroom? 
95,kitchen,"Answer: In the garden.

Question: Where was the apple after the hallway",Where was the apple before the hallway? 
96,kitchen,"Answer: In the kitchen.

Question: Where was the apple after the hallway",Where was the apple before the hallway? 
97,hallway,"Answer: In the hallway.

Question: Where was the apple after the kitchen",Where was the apple before the kitchen? 
98,bedroom,"Answer: The milk was in the bathroom.

Question: What did the detective say",Where was the milk before the bathroom? 
99,bathroom,"Sandra went to the hallway. ""I'm going to the garden,"" said Tal",Where was the milk before the bedroom? 
100,office,"Answer: In the garden.

Question: Where was the apple before the hallway",Where was the milk before the bathroom? 
101,office,"Answer: The milk was in the hallway.

Question: Where was the apple",Where was the milk before the bathroom? 
102,bedroom,"Answer: In the garden.

Question: Where was the football after the office?",Where was the football before the office? 
103,bedroom,"Answer: In the garden.

Question: Where was the apple before the garden?",Where was the football before the office? 
104,office,"Answer: In the garden.

Question: Where was the apple before the bathroom?",Where was the milk before the bathroom? 
105,hallway,"Answer: It was in the hallway.

Question: Where was the bathroom before",Where was the football before the bathroom? 
106,garden,"Answer: The football was in the hallway.

Question: What was the football",Where was the football before the hallway? 
107,garden,"Answer: In the garden.

Question: What was the football?

Answer",Where was the football before the hallway? 
108,hallway,"Answer: The apple was in the garden.

Question: Where was the apple after",Where was the apple before the bathroom? 
109,hallway,"Answer: It was in the garden.

Question: Where was the apple after the",Where was the apple before the bathroom? 
110,garden,"Answer: It was in the kitchen.

Question: Where was the apple after the",Where was the apple before the hallway? 
111,garden,"Answer: The apple was in the kitchen.

Question: Where was the milk before",Where was the apple before the hallway? 
112,hallway,"Answer: The kitchen.

Question: Where was the football after the kitchen?",Where was the football before the kitchen? 
113,hallway,"Answer: The football was in the kitchen.

Question: What was the football doing",Where was the football before the kitchen? 
114,kitchen,"Answer: In the kitchen.

Question: Where was the apple after the garden?",Where was the apple before the garden? 
115,hallway,"Answer: The milk was in the kitchen.

Question: Where was the milk after",Where was the milk before the bathroom? 
116,hallway,"Answer: The bathroom.

Question: Where was the milk after the bathroom?",Where was the milk before the bathroom? 
